location;total_populations;total_infected;total_death_counts;infection_rate;death_rate;fatality_rate
Saint Martin (French part);31816;12324;46;38,735;0,145;0,373
Vietnam;98186856;11623571;43206;11,838;0,044;0,372
Austria;8939617;6081287;22534;68,026;0,252;0,371
Bonaire Sint Eustatius and Saba;27052;11922;41;44,071;0,152;0,344
Mauritius;1299478;309786;1054;23,839;0,081;0,34
Seychelles;107135;50937;172;47,545;0,161;0,338
Andorra;79843;48015;159;60,137;0,199;0,331
Switzerland;8740471;4412555;14054;50,484;0,161;0,319
Laos;7529477;218864;671;2,907;0,009;0,307
Anguilla;15877;3904;12;24,589;0,076;0,307
Isle of Man;84534;38008;116;44,962;0,137;0,305
Northern Mariana Islands;49574;14274;41;28,793;0,083;0,287
Netherlands;17564020;8617412;22986;49,063;0,131;0,267
Israel;9449000;4837580;12670;51,197;0,134;0,262
Luxembourg;647601;383398;1000;59,203;0,154;0,261
Denmark;5882259;3416698;8814;58,085;0,15;0,258
Micronesia (country);114178;26547;65;23,251;0,057;0,245
Jersey;110796;66391;161;59,922;0,145;0,243
Mongolia;3398373;1010975;2284;29,749;0,067;0,226
Wallis and Futuna;11596;3550;8;30,614;0,069;0,225
Japan;123951696;33803572;74694;27,272;0,06;0,221
United Arab Emirates;9441138;1067030;2349;11,302;0,025;0,22
Bahrain;1472237;696614;1536;47,317;0,104;0,22
Cyprus;896007;660854;1364;73,755;0,152;0,206
Australia;26177410;11600795;23601;44,316;0,09;0,203
Guernsey;63329;35326;67;55,782;0,106;0,19
Reunion;974062;494595;921;50,777;0,095;0,186
Samoa;222390;16778;31;7,544;0,014;0,185
Greenland;56494;11971;21;21,19;0,037;0,175
Maldives;523798;186694;316;35,642;0,06;0,169
Palau;18084;6235;9;34,478;0,05;0,144
New Zealand;5185289;2383066;3329;45,958;0,064;0,14
Qatar;2695131;514524;690;19,091;0,026;0,134
China;1425887360;99311610;121714;6,965;0,009;0,123
Cayman Islands;68722;31472;37;45,796;0,054;0,118
Vanuatu;326744;12019;14;3,678;0,004;0,116
Marshall Islands;41593;16133;17;38,788;0,041;0,105
South Korea;51815808;34571873;35934;66,721;0,069;0,104
Saint Barthelemy;10994;5507;5;50,091;0,045;0,091
Iceland;372903;208957;186;56,035;0,05;0,089
Faeroe Islands;53117;34658;28;65,248;0,053;0,081
Singapore;5637022;2579966;1872;45,768;0,033;0,073
Tonga;106867;16825;12;15,744;0,011;0,071
Saint Pierre and Miquelon;5885;3426;2;58,216;0,034;0,058
Brunei;449002;311020;163;69,269;0,036;0,052
Tuvalu;11335;2943;1;25,964;0,009;0,034
Bhutan;782457;62697;21;8,013;0,003;0,033
Cook Islands;17032;7158;2;42,027;0,012;0,028
Burundi;12889583;54321;15;0,421;0;0,028
Nauru;12691;5393;1;42,495;0,008;0,019
Turkmenistan;6430777;NULL;NULL;NULL;NULL;NULL
Saint Helena;5401;2166;NULL;40,104;NULL;NULL
Falkland Islands;3801;1923;NULL;50,592;NULL;NULL
Pitcairn;47;4;NULL;8,511;NULL;NULL
Scotland;5466000;NULL;NULL;NULL;NULL;NULL
North Korea;26069416;NULL;NULL;NULL;NULL;NULL
Hong Kong;7488863;NULL;NULL;NULL;NULL;NULL
England;56550000;NULL;NULL;NULL;NULL;NULL
Tokelau;1893;80;NULL;4,226;NULL;NULL
Northern Ireland;1896000;NULL;NULL;NULL;NULL;NULL
Macao;695180;NULL;NULL;NULL;NULL;NULL
Northern Cyprus;382836;NULL;NULL;NULL;NULL;NULL
Vatican;808;26;NULL;3,218;NULL;NULL
Taiwan;23893396;NULL;NULL;NULL;NULL;NULL
Wales;3170000;NULL;NULL;NULL;NULL;NULL
Western Sahara;576005;NULL;NULL;NULL;NULL;NULL
Niue;1952;887;NULL;45,441;NULL;NULL
